enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,training_hours,target
15637,city_67,841.25,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,70,stay
28074,city_103,890.0,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,NGO,17,stay
23012,city_103,890.0,Female,No relevent experience,no_enrollment,Masters,STEM,15,50-99,Pvt Ltd,51,stay
16110,city_103,890.0,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,60,switch
24530,city_114,894.5,Male,No relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,7,stay
1907,city_102,803.0,Male,No relevent experience,no_enrollment,High School,,2,<10,NGO,145,stay
24829,city_103,890.0,Male,No relevent experience,no_enrollment,Masters,Humanities,3,10000+,Pvt Ltd,133,switch
1265,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Funded Startup,76,stay
13342,city_21,668.0,Female,Has relevent experience,no_enrollment,Graduate,Other,8,5000-9999,Pvt Ltd,34,stay
24608,city_160,890.0,Male,No relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,15,stay
24796,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,15,stay
3396,city_67,841.25,Male,Has relevent experience,Part time course,Graduate,STEM,6,500-999,Pvt Ltd,102,stay
31786,city_103,890.0,Male,No relevent experience,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,14,stay
23455,city_21,668.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,49,switch
28817,city_89,893.75,Male,Has relevent experience,Full time course,Graduate,STEM,14,5000-9999,Pvt Ltd,141,switch
4656,city_114,894.5,Male,No relevent experience,no_enrollment,High School,,6,,Pvt Ltd,28,stay
7280,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,6,stay
16903,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,No Major,17,5000-9999,Pvt Ltd,125,stay
26241,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,100-500,Pvt Ltd,33,stay
32092,city_103,890.0,Female,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,55,stay
3766,city_150,723.5,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,32,stay
30496,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,Arts,>20,100-500,Pvt Ltd,11,stay
7189,city_73,765.5,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,41,stay
29497,city_103,890.0,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Public Sector,87,switch
31593,city_67,841.25,Male,Has relevent experience,no_enrollment,Masters,STEM,10,100-500,Pvt Ltd,114,stay
11986,city_90,723.5,Male,Has relevent experience,Part time course,Masters,STEM,5,<10,Early Stage Startup,15,stay
14835,city_173,858.5,Female,Has relevent experience,Part time course,High School,,2,100-500,NGO,22,stay
3728,city_103,890.0,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,13,stay
3024,city_98,911.75,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Public Sector,246,stay
23508,city_103,890.0,Male,Has relevent experience,no_enrollment,Masters,STEM,9,10/49,Pvt Ltd,22,stay
29457,city_103,890.0,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Funded Startup,81,stay
27708,city_94,723.5,Male,No relevent experience,Full time course,Graduate,STEM,5,5000-9999,,24,switch
3065,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Funded Startup,50,stay
5493,city_28,904.25,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Pvt Ltd,31,stay
2891,city_114,894.5,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,84,stay
32509,city_136,872.75,Male,Has relevent experience,Part time course,Graduate,STEM,4,10000+,Pvt Ltd,42,stay
907,city_103,890.0,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,72,stay
29526,city_115,791.75,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10/49,Pvt Ltd,42,switch
10956,city_94,723.5,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Early Stage Startup,152,stay
26099,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,60,stay
706,city_16,882.5,Male,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,Funded Startup,38,stay
9890,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,Humanities,14,<10,Early Stage Startup,178,stay
32683,city_160,890.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,11,stay
31943,city_71,863.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Early Stage Startup,32,stay
33339,city_21,668.0,Male,No relevent experience,no_enrollment,Graduate,STEM,2,500-999,Public Sector,39,stay
29529,city_165,877.25,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,55,switch
32095,city_103,890.0,Male,Has relevent experience,no_enrollment,Masters,Humanities,2,50-99,Early Stage Startup,104,stay
30098,city_103,890.0,Male,Has relevent experience,no_enrollment,Masters,Other,>20,100-500,Pvt Ltd,8,stay
30695,city_21,668.0,Male,No relevent experience,Full time course,Graduate,STEM,3,,Pvt Ltd,42,stay
24936,city_21,668.0,Male,Has relevent experience,no_enrollment,Masters,STEM,3,50-99,Funded Startup,88,stay
31602,city_103,890.0,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,7,stay
5278,city_21,668.0,Male,No relevent experience,no_enrollment,,,3,,Pvt Ltd,218,stay
16814,city_16,882.5,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,62,stay
19249,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,83,stay
9475,city_28,904.25,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,11,stay
4865,city_114,894.5,Male,No relevent experience,Part time course,Phd,STEM,>20,50-99,,10,stay
20881,city_28,904.25,Male,Has relevent experience,no_enrollment,Masters,STEM,10,1000-4999,Pvt Ltd,114,stay
8528,city_160,890.0,Male,Has relevent experience,Part time course,Graduate,STEM,>20,50-99,Public Sector,108,stay
6141,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,100-500,Pvt Ltd,45,stay
2821,city_114,894.5,Male,Has relevent experience,no_enrollment,Masters,STEM,15,100-500,Pvt Ltd,8,stay
25495,city_142,745.25,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Funded Startup,37,stay
28015,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,500-999,Pvt Ltd,162,stay
405,city_165,877.25,Male,Has relevent experience,no_enrollment,Masters,STEM,19,100-500,Pvt Ltd,4,stay
13891,city_71,863.0,Female,No relevent experience,no_enrollment,Phd,STEM,3,1000-4999,Public Sector,41,stay
399,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,190,stay
8751,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Public Sector,11,stay
20744,city_103,890.0,Male,No relevent experience,Full time course,High School,,3,10000+,Pvt Ltd,30,stay
25380,city_103,890.0,Male,Has relevent experience,no_enrollment,Masters,STEM,13,100-500,,39,stay
12509,city_114,894.5,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,5,stay
13083,city_114,894.5,Male,Has relevent experience,no_enrollment,Masters,STEM,10,50-99,Pvt Ltd,29,stay
3500,city_103,890.0,Other,No relevent experience,Part time course,High School,,6,50-99,Funded Startup,54,stay
15922,city_160,890.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,44,stay
28838,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,NGO,74,stay
24082,city_21,668.0,Male,Has relevent experience,no_enrollment,Masters,STEM,6,10/49,Pvt Ltd,8,switch
1020,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,500-999,Pvt Ltd,162,stay
16994,city_46,771.5,Other,Has relevent experience,Part time course,High School,,3,10/49,Pvt Ltd,262,stay
14578,city_64,699.5,Male,Has relevent experience,Part time course,Graduate,STEM,9,10/49,Pvt Ltd,19,switch
20732,city_64,699.5,Other,No relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,23,switch
16537,city_136,872.75,Male,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,,134,stay
17358,city_114,894.5,Male,Has relevent experience,no_enrollment,Masters,STEM,11,10/49,Early Stage Startup,40,stay
21933,city_71,863.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,11,stay
24152,city_83,892.25,Male,No relevent experience,no_enrollment,Masters,STEM,3,10000+,Pvt Ltd,30,stay
30912,city_83,892.25,Male,No relevent experience,no_enrollment,Primary School,,1,,Pvt Ltd,103,stay
20976,city_160,890.0,Male,Has relevent experience,Part time course,Graduate,STEM,5,1000-4999,Public Sector,40,stay
13150,city_16,882.5,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,27,stay
12206,city_114,894.5,Male,No relevent experience,no_enrollment,High School,,10,100-500,Pvt Ltd,46,stay
9407,city_114,894.5,Male,Has relevent experience,no_enrollment,High School,,7,50-99,Pvt Ltd,110,stay
13152,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,50-99,Funded Startup,96,stay
22689,city_98,911.75,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Funded Startup,42,stay
13994,city_12,680.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,40,switch
27064,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Funded Startup,94,stay
9571,city_173,858.5,Male,No relevent experience,Part time course,Graduate,STEM,10,10/49,Early Stage Startup,25,stay
30854,city_43,587.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Early Stage Startup,11,stay
17519,city_142,745.25,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Pvt Ltd,113,stay
31692,city_160,890.0,Male,Has relevent experience,Full time course,Graduate,STEM,>20,10000+,Pvt Ltd,40,stay
6052,city_103,890.0,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Pvt Ltd,56,stay
12934,city_114,894.5,Male,Has relevent experience,Part time course,Graduate,STEM,19,500-999,Pvt Ltd,64,stay
30400,city_73,765.5,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,51,stay
26419,city_67,841.25,Female,Has relevent experience,Full time course,Graduate,STEM,6,1000-4999,Pvt Ltd,41,stay
12117,city_74,634.25,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,10/49,Pvt Ltd,320,stay
30472,city_21,668.0,Male,No relevent experience,Full time course,,,4,1000-4999,Pvt Ltd,9,switch
32534,city_102,803.0,Male,Has relevent experience,Full time course,Graduate,STEM,9,5000-9999,Pvt Ltd,74,stay
22395,city_21,668.0,Male,Has relevent experience,no_enrollment,Masters,STEM,3,,Public Sector,129,switch
2793,city_83,892.25,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,166,stay
25174,city_61,884.75,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,50-99,Pvt Ltd,110,stay
30484,city_114,894.5,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,31,stay
14688,city_116,757.25,Male,No relevent experience,Full time course,Masters,STEM,11,50-99,Pvt Ltd,97,stay
20322,city_102,803.0,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,206,stay
22194,city_103,890.0,Female,Has relevent experience,no_enrollment,Graduate,STEM,2,10/49,Funded Startup,204,stay
31401,city_103,890.0,Male,Has relevent experience,no_enrollment,Masters,STEM,18,10000+,Pvt Ltd,116,stay
10102,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,10000+,Pvt Ltd,107,stay
15701,city_16,882.5,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,140,stay
21218,city_75,904.25,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,10000+,Pvt Ltd,75,stay
10752,city_67,841.25,Female,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,42,switch
17460,city_16,882.5,Female,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,22,stay
9384,city_61,884.75,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,500-999,Pvt Ltd,143,stay
4269,city_67,841.25,Female,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Pvt Ltd,72,stay
14935,city_103,890.0,Male,Has relevent experience,no_enrollment,High School,,11,500-999,Pvt Ltd,7,stay
28033,city_136,872.75,Male,No relevent experience,Full time course,Graduate,STEM,3,50-99,Early Stage Startup,182,stay
1568,city_99,886.25,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,50,stay
15465,city_100,865.25,Male,Has relevent experience,no_enrollment,High School,,2,50-99,Public Sector,82,stay
29440,city_21,668.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,<10,,60,switch
32652,city_65,801.5,Male,Has relevent experience,Full time course,Masters,STEM,5,100-500,Pvt Ltd,124,stay
12875,city_152,723.5,Male,No relevent experience,Full time course,Masters,STEM,3,,NGO,57,switch
21078,city_160,890.0,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,17,stay
5899,city_150,723.5,Male,No relevent experience,no_enrollment,Primary School,,3,,Pvt Ltd,31,stay
2855,city_16,882.5,Male,No relevent experience,no_enrollment,Masters,STEM,5,10000+,Pvt Ltd,31,stay
27866,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Funded Startup,31,stay
24807,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,55,stay
6008,city_16,882.5,Male,Has relevent experience,no_enrollment,High School,,>20,100-500,Pvt Ltd,38,stay
2990,city_173,858.5,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,32,switch
28229,city_40,781.9999999999999,Male,Has relevent experience,Part time course,Graduate,STEM,18,100-500,Funded Startup,51,stay
4162,city_102,803.0,Male,Has relevent experience,Full time course,Graduate,STEM,9,5000-9999,Pvt Ltd,22,stay
2194,city_23,874.25,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Funded Startup,19,stay
21564,city_21,668.0,Male,Has relevent experience,Full time course,Masters,STEM,9,50-99,Pvt Ltd,46,switch
17432,city_16,882.5,Female,Has relevent experience,no_enrollment,Graduate,STEM,13,50-99,Pvt Ltd,15,stay
1988,city_36,869.75,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,38,stay
8540,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Public Sector,52,stay
15468,city_114,894.5,Male,Has relevent experience,no_enrollment,Masters,STEM,15,100-500,Pvt Ltd,65,stay
1297,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,5000-9999,Pvt Ltd,86,stay
22517,city_114,894.5,Male,No relevent experience,no_enrollment,Graduate,STEM,3,1000-4999,Public Sector,86,stay
30676,city_16,882.5,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,53,stay
18376,city_75,904.25,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,50-99,,60,stay
29961,city_75,904.25,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,166,stay
20369,city_21,668.0,Male,Has relevent experience,Full time course,Graduate,STEM,7,10000+,,35,stay
23505,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,100-500,Pvt Ltd,106,stay
11751,city_138,827.0,Male,No relevent experience,no_enrollment,Graduate,STEM,6,<10,Pvt Ltd,58,stay
10370,city_75,904.25,Male,Has relevent experience,no_enrollment,Masters,STEM,16,5000-9999,NGO,166,stay
5340,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,>20,10000+,Pvt Ltd,109,stay
9217,city_71,863.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,1,<10,Early Stage Startup,37,stay
5673,city_45,867.5,Male,No relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,51,stay
25421,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,50-99,Funded Startup,84,stay
20698,city_114,894.5,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,NGO,72,stay
41,city_100,865.25,Male,Has relevent experience,no_enrollment,High School,,>20,100-500,Pvt Ltd,47,stay
9515,city_103,890.0,Male,No relevent experience,no_enrollment,Graduate,Other,2,1000-4999,Public Sector,64,stay
20743,city_50,871.9999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,23,switch
25766,city_71,863.0,Male,No relevent experience,Full time course,Masters,STEM,14,100-500,Public Sector,96,stay
4626,city_21,668.0,Male,No relevent experience,no_enrollment,High School,,2,,Pvt Ltd,306,stay
4642,city_73,765.5,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,NGO,8,stay
16178,city_46,771.5,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,48,stay
1829,city_21,668.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,10/49,Pvt Ltd,98,switch
10529,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,Arts,>20,<10,Pvt Ltd,102,stay
32324,city_103,890.0,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,32,stay
17083,city_160,890.0,Female,Has relevent experience,Full time course,Graduate,STEM,4,5000-9999,Pvt Ltd,7,stay
16414,city_16,882.5,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,10/49,Pvt Ltd,53,stay
32340,city_67,841.25,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Funded Startup,161,stay
18462,city_136,872.75,Male,No relevent experience,no_enrollment,Masters,STEM,8,10/49,Pvt Ltd,11,stay
30636,city_21,668.0,Male,No relevent experience,Full time course,Graduate,STEM,1,50-99,,72,switch
29982,city_105,795.5,Female,Has relevent experience,no_enrollment,Masters,Humanities,6,50-99,Pvt Ltd,182,stay
29217,city_75,904.25,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,67,stay
22508,city_71,863.0,Female,No relevent experience,Part time course,Graduate,STEM,5,100-500,Pvt Ltd,16,stay
25969,city_16,882.5,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,38,stay
28080,city_103,890.0,Other,Has relevent experience,no_enrollment,Graduate,Arts,5,10/49,Early Stage Startup,98,stay
